respondent_id,cohort,age_band,episode,score
R0039,Neobank / payments app,30-44,Open an account,9
R0039,Neobank / payments app,30-44,Make a payment,10
R0039,Neobank / payments app,30-44,Get support,6
R0039,Neobank / payments app,30-44,Apply for credit,9
R0040,Private bank,18-29,Open an account,9
R0040,Private bank,18-29,Make a payment,10
R0040,Private bank,18-29,Get support,8
R0040,Private bank,18-29,Apply for credit,9
R0041,Public bank,45-59,Open an account,6
R0041,Public bank,45-59,Make a payment,8
R0041,Public bank,45-59,Get support,8
R0041,Public bank,45-59,Apply for credit,6
R0042,Neobank / payments app,30-44,Open an account,8
R0042,Neobank / payments app,30-44,Make a payment,9
R0042,Neobank / payments app,30-44,Get support,3
R0042,Neobank / payments app,30-44,Apply for credit,8
R0043,Private bank,30-44,Open an account,3
R0043,Private bank,30-44,Make a payment,7
R0043,Private bank,30-44,Get support,6
R0043,Private bank,30-44,Apply for credit,10
R0044,Neobank / payments app,30-44,Open an account,10
R0044,Neobank / payments app,30-44,Make a payment,9
R0044,Neobank / payments app,30-44,Get support,7
R0044,Neobank / payments app,30-44,Apply for credit,9
R0045,Private bank,60+,Open an account,5
R0045,Private bank,60+,Make a payment,6
R0045,Private bank,60+,Get support,6
R0045,Private bank,60+,Apply for credit,4
R0046,Private bank,30-44,Open an account,7
R0046,Private bank,30-44,Make a payment,9
R0046,Private bank,30-44,Get support,6
R0046,Private bank,30-44,Apply for credit,6
R0047,Neobank / payments app,18-29,Open an account,10
R0047,Neobank / payments app,18-29,Make a payment,9
R0047,Neobank / payments app,18-29,Get support,9
R0047,Neobank / payments app,18-29,Apply for credit,9
R0048,Private bank,30-44,Open an account,7
R0048,Private bank,30-44,Make a payment,7
R0048,Private bank,30-44,Get support,6
R0048,Private bank,30-44,Apply for credit,9
R0049,Private bank,30-44,Open an account,10
R0049,Private bank,30-44,Make a payment,10
R0049,Private bank,30-44,Get support,3
R0049,Private bank,30-44,Apply for credit,10
R0050,Private bank,60+,Open an account,10
R0050,Private bank,60+,Make a payment,8
R0050,Private bank,60+,Get support,5
R0050,Private bank,60+,Apply for credit,4
R0051,Neobank / payments app,18-29,Open an account,6
R0051,Neobank / payments app,18-29,Make a payment,6
R0051,Neobank / payments app,18-29,Get support,4
R0051,Neobank / payments app,18-29,Apply for credit,7
R0052,Neobank / payments app,60+,Open an account,7
R0052,Neobank / payments app,60+,Make a payment,8
R0052,Neobank / payments app,60+,Get support,6
R0052,Neobank / payments app,60+,Apply for credit,7
R0053,Public bank,45-59,Open an account,6
R0053,Public bank,45-59,Make a payment,8
R0053,Public bank,45-59,Get support,7
R0053,Public bank,45-59,Apply for credit,7
R0054,Neobank / payments app,30-44,Open an account,10
R0054,Neobank / payments app,30-44,Make a payment,8
R0054,Neobank / payments app,30-44,Get support,6
R0054,Neobank / payments app,30-44,Apply for credit,10
R0055,Private bank,18-29,Open an account,8
R0055,Private bank,18-29,Make a payment,7
R0055,Private bank,18-29,Get support,9
R0055,Private bank,18-29,Apply for credit,8
R0056,Public bank,30-44,Open an account,6
R0056,Public bank,30-44,Make a payment,7
R0056,Public bank,30-44,Get support,6
R0056,Public bank,30-44,Apply for credit,5
R0057,Neobank / payments app,30-44,Open an account,9
R0057,Neobank / payments app,30-44,Make a payment,9
R0057,Neobank / payments app,30-44,Get support,8
R0057,Neobank / payments app,30-44,Apply for credit,9
R0058,Neobank / payments app,30-44,Open an account,10
R0058,Neobank / payments app,30-44,Make a payment,10
R0058,Neobank / payments app,30-44,Get support,7
R0058,Neobank / payments app,30-44,Apply for credit,9
R0059,Public bank,30-44,Open an account,3
R0059,Public bank,30-44,Make a payment,10
R0059,Public bank,30-44,Get support,7
R0059,Public bank,30-44,Apply for credit,8
R0060,Public bank,18-29,Open an account,7
R0060,Public bank,18-29,Make a payment,6
R0060,Public bank,18-29,Get support,5
R0060,Public bank,18-29,Apply for credit,5
R0061,Neobank / payments app,45-59,Open an account,8
R0061,Neobank / payments app,45-59,Make a payment,8
R0061,Neobank / payments app,45-59,Get support,9
R0061,Neobank / payments app,45-59,Apply for credit,6
R0062,Public bank,18-29,Open an account,4
R0062,Public bank,18-29,Make a payment,9
R0062,Public bank,18-29,Get support,6
R0062,Public bank,18-29,Apply for credit,7
R0063,Neobank / payments app,30-44,Open an account,8
R0063,Neobank / payments app,30-44,Make a payment,7
R0063,Neobank / payments app,30-44,Get support,7
R0063,Neobank / payments app,30-44,Apply for credit,9
R0064,Neobank / payments app,18-29,Open an account,9
R0064,Neobank / payments app,18-29,Make a payment,7
R0064,Neobank / payments app,18-29,Get support,7
R0064,Neobank / payments app,18-29,Apply for credit,6
R0065,Public bank,45-59,Open an account,5
R0065,Public bank,45-59,Make a payment,8
R0065,Public bank,45-59,Get support,8
R0065,Public bank,45-59,Apply for credit,8
R0066,Neobank / payments app,45-59,Open an account,8
R0066,Neobank / payments app,45-59,Make a payment,7
R0066,Neobank / payments app,45-59,Get support,8
R0066,Neobank / payments app,45-59,Apply for credit,10
R0067,Private bank,45-59,Open an account,6
R0067,Private bank,45-59,Make a payment,9
R0067,Private bank,45-59,Get support,10
R0067,Private bank,45-59,Apply for credit,7
R0068,Neobank / payments app,18-29,Open an account,10
R0068,Neobank / payments app,18-29,Make a payment,8
R0068,Neobank / payments app,18-29,Get support,7
R0068,Neobank / payments app,18-29,Apply for credit,7
R0069,Neobank / payments app,18-29,Open an account,10
R0069,Neobank / payments app,18-29,Make a payment,9
R0069,Neobank / payments app,18-29,Get support,3
R0069,Neobank / payments app,18-29,Apply for credit,8
R0070,Private bank,45-59,Open an account,8
R0070,Private bank,45-59,Make a payment,9
R0070,Private bank,45-59,Get support,6
R0070,Private bank,45-59,Apply for credit,7
R0071,Neobank / payments app,30-44,Open an account,9
R0071,Neobank / payments app,30-44,Make a payment,8
R0071,Neobank / payments app,30-44,Get support,6
R0071,Neobank / payments app,30-44,Apply for credit,9
R0072,Private bank,45-59,Open an account,5
R0072,Private bank,45-59,Make a payment,8
R0072,Private bank,45-59,Get support,8
R0072,Private bank,45-59,Apply for credit,9
R0073,Private bank,45-59,Open an account,9
R0073,Private bank,45-59,Make a payment,8
R0073,Private bank,45-59,Get support,10
R0073,Private bank,45-59,Apply for credit,7
R0074,Public bank,30-44,Open an account,3
R0074,Public bank,30-44,Make a payment,8
R0074,Public bank,30-44,Get support,7
R0074,Public bank,30-44,Apply for credit,7
R0075,Private bank,30-44,Open an account,9
R0075,Private bank,30-44,Make a payment,9
R0075,Private bank,30-44,Get support,7
R0075,Private bank,30-44,Apply for credit,7
R0076,Neobank / payments app,18-29,Open an account,8
R0076,Neobank / payments app,18-29,Make a payment,10
R0076,Neobank / payments app,18-29,Get support,8
R0076,Neobank / payments app,18-29,Apply for credit,8
R0077,Public bank,45-59,Open an account,5
R0077,Public bank,45-59,Make a payment,8
R0077,Public bank,45-59,Get support,6
R0077,Public bank,45-59,Apply for credit,6
R0078,Public bank,45-59,Open an account,7
R0078,Public bank,45-59,Make a payment,8
R0078,Public bank,45-59,Get support,7
R0078,Public bank,45-59,Apply for credit,6
R0079,Private bank,30-44,Open an account,8
R0079,Private bank,30-44,Make a payment,8
R0079,Private bank,30-44,Get support,8
R0079,Private bank,30-44,Apply for credit,8
R0080,Neobank / payments app,30-44,Open an account,6
R0080,Neobank / payments app,30-44,Make a payment,10
R0080,Neobank / payments app,30-44,Get support,6
R0080,Neobank / payments app,30-44,Apply for credit,8
R0081,Neobank / payments app,30-44,Open an account,8
R0081,Neobank / payments app,30-44,Make a payment,9
R0081,Neobank / payments app,30-44,Get support,6
R0081,Neobank / payments app,30-44,Apply for credit,8
R0082,Private bank,18-29,Open an account,10
R0082,Private bank,18-29,Make a payment,6
R0082,Private bank,18-29,Get support,9
R0082,Private bank,18-29,Apply for credit,8
R0083,Neobank / payments app,45-59,Open an account,7
R0083,Neobank / payments app,45-59,Make a payment,10
R0083,Neobank / payments app,45-59,Get support,5
R0083,Neobank / payments app,45-59,Apply for credit,7
R0084,Private bank,18-29,Open an account,7
R0084,Private bank,18-29,Make a payment,9
R0084,Private bank,18-29,Get support,8
R0084,Private bank,18-29,Apply for credit,6
R0085,Private bank,30-44,Open an account,8
R0085,Private bank,30-44,Make a payment,8
R0085,Private bank,30-44,Get support,6
R0085,Private bank,30-44,Apply for credit,8
R0086,Private bank,30-44,Open an account,5
R0086,Private bank,30-44,Make a payment,8
R0086,Private bank,30-44,Get support,9
R0086,Private bank,30-44,Apply for credit,8
R0087,Private bank,18-29,Open an account,8
R0087,Private bank,18-29,Make a payment,10
R0087,Private bank,18-29,Get support,9
R0087,Private bank,18-29,Apply for credit,6
R0088,Private bank,30-44,Open an account,7
R0088,Private bank,30-44,Make a payment,8
R0088,Private bank,30-44,Get support,7
R0088,Private bank,30-44,Apply for credit,7
R0089,Private bank,45-59,Open an account,7
R0089,Private bank,45-59,Make a payment,9
R0089,Private bank,45-59,Get support,10
R0089,Private bank,45-59,Apply for credit,8
R0090,Neobank / payments app,30-44,Open an account,10
R0090,Neobank / payments app,30-44,Make a payment,10
R0090,Neobank / payments app,30-44,Get support,3
R0090,Neobank / payments app,30-44,Apply for credit,9
R0091,Neobank / payments app,30-44,Open an account,8
R0091,Neobank / payments app,30-44,Make a payment,9
R0091,Neobank / payments app,30-44,Get support,4
R0091,Neobank / payments app,30-44,Apply for credit,10
R0092,Public bank,18-29,Open an account,7
R0092,Public bank,18-29,Make a payment,6
R0092,Public bank,18-29,Get support,6
R0092,Public bank,18-29,Apply for credit,7
R0093,Private bank,45-59,Open an account,9
R0093,Private bank,45-59,Make a payment,7
R0093,Private bank,45-59,Get support,8
R0093,Private bank,45-59,Apply for credit,7
R0094,Private bank,60+,Open an account,7
R0094,Private bank,60+,Make a payment,8
R0094,Private bank,60+,Get support,5
R0094,Private bank,60+,Apply for credit,9
R0095,Neobank / payments app,30-44,Open an account,9
R0095,Neobank / payments app,30-44,Make a payment,8
R0095,Neobank / payments app,30-44,Get support,6
R0095,Neobank / payments app,30-44,Apply for credit,7
R0096,Neobank / payments app,18-29,Open an account,10
R0096,Neobank / payments app,18-29,Make a payment,7
R0096,Neobank / payments app,18-29,Get support,2
R0096,Neobank / payments app,18-29,Apply for credit,6
R0097,Private bank,30-44,Open an account,8
R0097,Private bank,30-44,Make a payment,8
R0097,Private bank,30-44,Get support,9
R0097,Private bank,30-44,Apply for credit,10
R0098,Public bank,18-29,Open an account,7
R0098,Public bank,18-29,Make a payment,4
R0098,Public bank,18-29,Get support,3
R0098,Public bank,18-29,Apply for credit,10
R0099,Private bank,30-44,Open an account,8
R0099,Private bank,30-44,Make a payment,7
R0099,Private bank,30-44,Get support,6
R0099,Private bank,30-44,Apply for credit,8
R0100,Neobank / payments app,45-59,Open an account,7
R0100,Neobank / payments app,45-59,Make a payment,10
R0100,Neobank / payments app,45-59,Get support,9
R0100,Neobank / payments app,45-59,Apply for credit,7
R0101,Public bank,18-29,Open an account,5
R0101,Public bank,18-29,Make a payment,7
R0101,Public bank,18-29,Get support,6
R0101,Public bank,18-29,Apply for credit,8
R0102,Neobank / payments app,18-29,Open an account,10
R0102,Neobank / payments app,18-29,Make a payment,9
R0102,Neobank / payments app,18-29,Get support,8
R0102,Neobank / payments app,18-29,Apply for credit,7
R0103,Neobank / payments app,18-29,Open an account,9
R0103,Neobank / payments app,18-29,Make a payment,10
R0103,Neobank / payments app,18-29,Get support,5
R0103,Neobank / payments app,18-29,Apply for credit,5
R0104,Neobank / payments app,30-44,Open an account,6
R0104,Neobank / payments app,30-44,Make a payment,10
R0104,Neobank / payments app,30-44,Get support,6
R0104,Neobank / payments app,30-44,Apply for credit,9
R0105,Private bank,18-29,Open an account,9
R0105,Private bank,18-29,Make a payment,10
R0105,Private bank,18-29,Get support,5
R0105,Private bank,18-29,Apply for credit,9
R0106,Public bank,30-44,Open an account,9
R0106,Public bank,30-44,Make a payment,7
R0106,Public bank,30-44,Get support,3
R0106,Public bank,30-44,Apply for credit,7
R0107,Public bank,18-29,Open an account,7
R0107,Public bank,18-29,Make a payment,3
R0107,Public bank,18-29,Get support,7
R0107,Public bank,18-29,Apply for credit,7
R0108,Private bank,18-29,Open an account,8
R0108,Private bank,18-29,Make a payment,9
R0108,Private bank,18-29,Get support,6
R0108,Private bank,18-29,Apply for credit,8
R0109,Private bank,30-44,Open an account,5
R0109,Private bank,30-44,Make a payment,8
R0109,Private bank,30-44,Get support,6
R0109,Private bank,30-44,Apply for credit,7
R0110,Public bank,30-44,Open an account,7
R0110,Public bank,30-44,Make a payment,7
R0110,Public bank,30-44,Get support,5
R0110,Public bank,30-44,Apply for credit,4
R0111,Neobank / payments app,18-29,Open an account,10
R0111,Neobank / payments app,18-29,Make a payment,10
R0111,Neobank / payments app,18-29,Get support,4
R0111,Neobank / payments app,18-29,Apply for credit,7
R0112,Public bank,18-29,Open an account,7
R0112,Public bank,18-29,Make a payment,6
R0112,Public bank,18-29,Get support,7
R0112,Public bank,18-29,Apply for credit,9
R0113,Private bank,45-59,Open an account,6
R0113,Private bank,45-59,Make a payment,4
R0113,Private bank,45-59,Get support,6
R0113,Private bank,45-59,Apply for credit,8
R0114,Private bank,30-44,Open an account,5
R0114,Private bank,30-44,Make a payment,8
R0114,Private bank,30-44,Get support,6
R0114,Private bank,30-44,Apply for credit,7
R0115,Private bank,30-44,Open an account,8
R0115,Private bank,30-44,Make a payment,8
R0115,Private bank,30-44,Get support,6
R0115,Private bank,30-44,Apply for credit,4
R0116,Private bank,45-59,Open an account,4
R0116,Private bank,45-59,Make a payment,8
R0116,Private bank,45-59,Get support,9
R0116,Private bank,45-59,Apply for credit,8
R0117,Neobank / payments app,30-44,Open an account,8
R0117,Neobank / payments app,30-44,Make a payment,7
R0117,Neobank / payments app,30-44,Get support,6
R0117,Neobank / payments app,30-44,Apply for credit,8
R0118,Private bank,30-44,Open an account,10
R0118,Private bank,30-44,Make a payment,7
R0118,Private bank,30-44,Get support,5
R0118,Private bank,30-44,Apply for credit,6
R0119,Private bank,45-59,Open an account,8
R0119,Private bank,45-59,Make a payment,6
R0119,Private bank,45-59,Get support,5
R0119,Private bank,45-59,Apply for credit,7
R0120,Public bank,45-59,Open an account,5
R0120,Public bank,45-59,Make a payment,7
R0120,Public bank,45-59,Get support,6
R0120,Public bank,45-59,Apply for credit,6
R0121,Private bank,18-29,Open an account,10
R0121,Private bank,18-29,Make a payment,6
R0121,Private bank,18-29,Get support,8
R0121,Private bank,18-29,Apply for credit,8
R0122,Neobank / payments app,30-44,Open an account,6
R0122,Neobank / payments app,30-44,Make a payment,8
R0122,Neobank / payments app,30-44,Get support,9
R0122,Neobank / payments app,30-44,Apply for credit,10
R0123,Private bank,30-44,Open an account,8
R0123,Private bank,30-44,Make a payment,6
R0123,Private bank,30-44,Get support,5
R0123,Private bank,30-44,Apply for credit,7
R0124,Private bank,30-44,Open an account,5
R0124,Private bank,30-44,Make a payment,6
R0124,Private bank,30-44,Get support,5
R0124,Private bank,30-44,Apply for credit,5
R0125,Public bank,45-59,Open an account,10
R0125,Public bank,45-59,Make a payment,7
R0125,Public bank,45-59,Get support,3
R0125,Public bank,45-59,Apply for credit,8
R0126,Private bank,30-44,Open an account,10
R0126,Private bank,30-44,Make a payment,10
R0126,Private bank,30-44,Get support,7
R0126,Private bank,30-44,Apply for credit,7
R0127,Private bank,45-59,Open an account,9
R0127,Private bank,45-59,Make a payment,10
R0127,Private bank,45-59,Get support,5
R0127,Private bank,45-59,Apply for credit,6
R0128,Public bank,30-44,Open an account,10
R0128,Public bank,30-44,Make a payment,9
R0128,Public bank,30-44,Get support,6
R0128,Public bank,30-44,Apply for credit,5
R0129,Private bank,30-44,Open an account,9
R0129,Private bank,30-44,Make a payment,7
R0129,Private bank,30-44,Get support,9
R0129,Private bank,30-44,Apply for credit,8
R0130,Neobank / payments app,30-44,Open an account,7
R0130,Neobank / payments app,30-44,Make a payment,10
R0130,Neobank / payments app,30-44,Get support,4
R0130,Neobank / payments app,30-44,Apply for credit,8
R0131,Neobank / payments app,45-59,Open an account,10
R0131,Neobank / payments app,45-59,Make a payment,5
R0131,Neobank / payments app,45-59,Get support,3
R0131,Neobank / payments app,45-59,Apply for credit,7
R0132,Neobank / payments app,30-44,Open an account,5
R0132,Neobank / payments app,30-44,Make a payment,7
R0132,Neobank / payments app,30-44,Get support,5
R0132,Neobank / payments app,30-44,Apply for credit,7
R0133,Private bank,18-29,Open an account,8
R0133,Private bank,18-29,Make a payment,9
R0133,Private bank,18-29,Get support,7
R0133,Private bank,18-29,Apply for credit,5
R0134,Public bank,60+,Open an account,6
R0134,Public bank,60+,Make a payment,5
R0134,Public bank,60+,Get support,6
R0134,Public bank,60+,Apply for credit,10
R0135,Neobank / payments app,45-59,Open an account,9
R0135,Neobank / payments app,45-59,Make a payment,6
R0135,Neobank / payments app,45-59,Get support,3
R0135,Neobank / payments app,45-59,Apply for credit,5
R0136,Public bank,30-44,Open an account,4
R0136,Public bank,30-44,Make a payment,6
R0136,Public bank,30-44,Get support,6
R0136,Public bank,30-44,Apply for credit,4
R0137,Public bank,45-59,Open an account,8
R0137,Public bank,45-59,Make a payment,8
R0137,Public bank,45-59,Get support,6
R0137,Public bank,45-59,Apply for credit,6
R0138,Public bank,30-44,Open an account,7
R0138,Public bank,30-44,Make a payment,7
R0138,Public bank,30-44,Get support,6
R0138,Public bank,30-44,Apply for credit,7
R0139,Private bank,18-29,Open an account,7
R0139,Private bank,18-29,Make a payment,6
R0139,Private bank,18-29,Get support,7
R0139,Private bank,18-29,Apply for credit,10
R0140,Public bank,30-44,Open an account,8
R0140,Public bank,30-44,Make a payment,6
R0140,Public bank,30-44,Get support,6
R0140,Public bank,30-44,Apply for credit,3
R0141,Public bank,30-44,Open an account,10
R0141,Public bank,30-44,Make a payment,8
R0141,Public bank,30-44,Get support,6
R0141,Public bank,30-44,Apply for credit,7
R0142,Private bank,45-59,Open an account,8
R0142,Private bank,45-59,Make a payment,10
R0142,Private bank,45-59,Get support,9
R0142,Private bank,45-59,Apply for credit,6
R0143,Private bank,30-44,Open an account,9
R0143,Private bank,30-44,Make a payment,7
R0143,Private bank,30-44,Get support,6
R0143,Private bank,30-44,Apply for credit,5
R0144,Public bank,60+,Open an account,8
R0144,Public bank,60+,Make a payment,6
R0144,Public bank,60+,Get support,9
R0144,Public bank,60+,Apply for credit,5
R0145,Private bank,18-29,Open an account,8
R0145,Private bank,18-29,Make a payment,10
R0145,Private bank,18-29,Get support,4
R0145,Private bank,18-29,Apply for credit,7
R0146,Public bank,30-44,Open an account,5
R0146,Public bank,30-44,Make a payment,8
R0146,Public bank,30-44,Get support,8
R0146,Public bank,30-44,Apply for credit,4
R0147,Private bank,45-59,Open an account,7
R0147,Private bank,45-59,Make a payment,8
R0147,Private bank,45-59,Get support,7
R0147,Private bank,45-59,Apply for credit,10
R0148,Private bank,30-44,Open an account,8
R0148,Private bank,30-44,Make a payment,7
R0148,Private bank,30-44,Get support,4
R0148,Private bank,30-44,Apply for credit,6
R0149,Neobank / payments app,60+,Open an account,6
R0149,Neobank / payments app,60+,Make a payment,5
R0149,Neobank / payments app,60+,Get support,5
R0149,Neobank / payments app,60+,Apply for credit,8
R0150,Public bank,30-44,Open an account,4
R0150,Public bank,30-44,Make a payment,6
R0150,Public bank,30-44,Get support,7
R0150,Public bank,30-44,Apply for credit,9
R0151,Neobank / payments app,30-44,Open an account,5
R0151,Neobank / payments app,30-44,Make a payment,10
R0151,Neobank / payments app,30-44,Get support,3
R0151,Neobank / payments app,30-44,Apply for credit,10
R0152,Private bank,45-59,Open an account,8
R0152,Private bank,45-59,Make a payment,7
R0152,Private bank,45-59,Get support,7
R0152,Private bank,45-59,Apply for credit,10
R0153,Neobank / payments app,18-29,Open an account,5
R0153,Neobank / payments app,18-29,Make a payment,9
R0153,Neobank / payments app,18-29,Get support,6
R0153,Neobank / payments app,18-29,Apply for credit,6
R0154,Private bank,30-44,Open an account,8
R0154,Private bank,30-44,Make a payment,6
R0154,Private bank,30-44,Get support,9
R0154,Private bank,30-44,Apply for credit,9
R0155,Neobank / payments app,30-44,Open an account,8
R0155,Neobank / payments app,30-44,Make a payment,9
R0155,Neobank / payments app,30-44,Get support,9
R0155,Neobank / payments app,30-44,Apply for credit,7
R0156,Private bank,30-44,Open an account,7
R0156,Private bank,30-44,Make a payment,8
R0156,Private bank,30-44,Get support,7
R0156,Private bank,30-44,Apply for credit,9
R0157,Private bank,30-44,Open an account,3
R0157,Private bank,30-44,Make a payment,10
R0157,Private bank,30-44,Get support,7
R0157,Private bank,30-44,Apply for credit,9
R0158,Private bank,18-29,Open an account,7
R0158,Private bank,18-29,Make a payment,5
R0158,Private bank,18-29,Get support,7
R0158,Private bank,18-29,Apply for credit,9
R0159,Private bank,45-59,Open an account,5
R0159,Private bank,45-59,Make a payment,10
R0159,Private bank,45-59,Get support,4
R0159,Private bank,45-59,Apply for credit,8
R0160,Public bank,45-59,Open an account,8
